AMZN,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2019-01-02,1465.2,1553.36,1460.93,1539.13,7983103,,,,
2019-01-03,1520.01,1538.0,1497.11,1500.28,6975571,,,,-0.025241532554105328
2019-01-04,1530.0,1594.0,1518.31,1575.39,9182574,,,,0.05006398805556311
2019-01-07,1602.31,1634.56,1589.185,1629.51,7993212,,,,0.03435339820615835
2019-01-08,1664.69,1676.61,1616.61,1656.58,8881427,,,,0.016612355861578054
2019-01-09,1652.98,1667.799,1641.395,1659.42,6348800,,,,0.0017143753999204758
2019-01-10,1641.01,1663.25,1621.615,1656.22,6507692,,,,-0.001928384616311729
2019-01-11,1640.55,1660.294,1636.22,1640.56,4686221,,,,-0.009455265604811025
2019-01-14,1615.0,1648.2,1595.15,1617.21,6005887,,,,-0.01423294484810056
2019-01-15,1632.0,1675.16,1626.01,1674.56,5998509,1614.886,,,0.03546230854372645
2019-01-16,1684.22,1705.0,1675.879,1683.78,6366863,1629.3509999999999,,,0.005505923944200353
2019-01-17,1680.0,1700.17,1677.5,1693.22,4208874,1648.645,,,0.005606433144472511
2019-01-18,1712.0,1716.2,1691.54,1696.2,6020502,1660.726,,,0.0017599603123044094
2019-01-22,1681.0,1681.867,1610.2,1632.17,6416795,1660.9920000000002,,,-0.037749086192665926
2019-01-23,1656.0,1657.43,1612.0,1640.02,5225211,1659.336,,,0.00480954802502187
2019-01-24,1641.07,1657.257,1631.785,1654.93,4089942,1658.8870000000002,,,0.009091352544481124
2019-01-25,1670.5,1683.48,1661.612,1670.57,4959678,1660.3220000000001,,,0.0094505507785827
2019-01-28,1643.59,1645.0,1614.09,1637.89,4837710,1660.0549999999998,,,-0.019562185361882367
2019-01-29,1631.27,1632.38,1590.72,1593.88,4632781,1657.7220000000002,,,-0.026869936320509935
2019-01-30,1623.0,1676.95,1619.68,1670.43,5783821,1657.309,1636.0975,,0.04802745501543404
2019-01-31,1692.85,1736.411,1679.082,1718.73,10910339,1660.804,1645.0775,,0.028914710583502368
2019-02-01,1638.88,1673.06,1622.01,1626.23,11506209,1654.105,1651.375,,-0.053818808073403
2019-02-04,1623.0,1649.63,1613.5,1633.31,4929186,1647.816,1654.271,,0.004353627715636632
2019-02-05,1643.34,1665.26,1642.5,1658.81,4453104,1650.48,1655.736,,0.015612467933215468
2019-02-06,1670.75,1672.26,1633.34,1640.26,3939882,1650.5040000000001,1654.92,,-0.011182715320018577
2019-02-07,1625.0,1625.539,1592.91,1614.37,4626588,1646.4479999999999,1652.6675,,-0.01578408301123002
2019-02-08,1586.0,1588.59,1566.756,1588.22,5657456,1638.2130000000002,1649.2675,,-0.016198269293904
2019-02-11,1600.98,1609.29,1586.0,1591.0,3317327,1633.5240000000001,1646.7895,,0.001750387225951
2019-02-12,1604.0,1639.395,1598.88,1638.01,4858603,1637.937,1647.8295000000003,,0.029547454431175346
2019-02-13,1647.0,1656.38,1637.106,1640.0,3560320,1634.8939999999998,1646.1015,,0.001214888797992586
2019-02-14,1624.5,1637.9,1606.061,1622.65,4120523,1625.286,1643.045,,-0.010579268292682853
2019-02-15,1627.86,1628.91,1604.5,1607.95,4343892,1623.458,1638.7814999999998,,-0.009059254922503368
2019-02-19,1601.0,1634.0,1600.56,1627.58,3681655,1622.8849999999998,1635.3505,,0.012208091047607228
2019-02-20,1630.0,1634.93,1610.12,1622.1,3337588,1619.214,1634.8470000000002,,-0.003366961992651629
2019-02-21,1619.85,1623.56,1600.91,1619.44,3483391,1617.132,1633.818,,-0.001639849577707797
2019-02-22,1623.5,1634.94,1621.17,1631.56,3096190,1618.851,1632.6495,,0.007484068566911972
2019-02-25,1641.45,1654.6,1630.387,1633.0,3184461,1623.329,1630.7710000000002,,0.0008825908946039629
2019-02-26,1625.98,1639.99,1616.134,1636.4,2665814,1627.869,1630.6965,,0.002082057562768025
2019-02-27,1628.18,1641.81,1615.1,1641.09,3148823,1628.1770000000001,1633.057,,0.0028660474211683606
2019-02-28,1635.25,1651.77,1633.83,1639.83,3025890,1628.16,1631.527,,-0.000767782388534477
2019-03-01,1655.13,1674.26,1651.0,1671.73,4974876,1633.068,1629.1770000000001,,0.019453236006171437
2019-03-04,1685.0,1709.43,1674.36,1696.17,6167357,1641.89,1632.674,,0.01461958569864752
2019-03-05,1702.95,1707.8,1689.01,1692.43,3681521,1648.375,1635.6299999999999,,-0.0022049676624394943
2019-03-06,1695.97,1697.75,1668.28,1668.95,3996000,1653.06,1636.1370000000002,,-0.01387354277577213
2019-03-07,1667.37,1669.753,1620.51,1625.95,4957016,1653.711,1635.4215,,-0.025764702357769842
2019-03-08,1604.01,1622.72,1586.57,1620.8,4667013,1652.6349999999998,1635.743,,-0.003167379070697196
2019-03-11,1626.12,1672.285,1626.01,1670.62,3876351,1656.3970000000002,1639.863,,0.03073790720631786
2019-03-12,1669.0,1684.265,1660.98,1673.1,3614497,1660.0670000000002,1643.968,,0.0014844788162478029
2019-03-13,1683.0,1700.0,1679.35,1690.81,3552040,1665.039,1646.6080000000002,,0.010585141354372052
2019-03-14,1691.2,1702.0,1684.34,1686.22,2946617,1669.6779999999999,1648.9189999999999,1640.9854,-0.002714675214837814
2019-03-15,1703.0,1718.8,1693.13,1712.36,7550869,1673.741,1653.4044999999999,1644.45,0.015502129022310074
2019-03-18,1712.7,1750.0,1712.63,1742.15,5429057,1678.339,1660.1145000000001,1649.2874,0.017397042677941732
2019-03-19,1753.51,1784.16,1753.51,1761.85,6364160,1685.2810000000002,1666.828,1653.0166,0.011307866716413484
2019-03-20,1769.94,1799.5,1767.034,1797.27,6265632,1698.113,1675.5865,1656.3718,0.02010386809319753
2019-03-21,1796.26,1823.75,1787.281,1819.26,5767796,1717.444,1685.5775,1659.6254000000001,0.0122352234221903
2019-03-22,1810.17,1818.98,1763.11,1764.77,6362982,1731.841,1692.2379999999998,1661.7323999999999,-0.029951738618998913
2019-03-25,1757.79,1782.675,1747.5,1774.26,5103802,1742.205,1699.301,1664.0932,0.005377471285209934
2019-03-26,1793.0,1805.77,1773.36,1783.76,4865879,1753.271,1706.6689999999999,1666.9572,0.005354344909990649
2019-03-27,1784.13,1787.5,1745.68,1765.7,4324800,1760.7599999999998,1712.8995,1669.927,-0.010124680450284806
2019-03-28,1770.0,1777.93,1753.47,1773.42,3042957,1769.48,1719.5790000000002,1671.9042000000002,0.004372203658605578
2019-03-29,1786.58,1792.86,1776.63,1780.75,3320792,1776.319,1725.03,1673.8436000000002,0.004133256645351802
2019-04-01,1800.11,1815.67,1798.73,1814.19,4238751,1783.523,1730.931,1676.263,0.01877860452056712
2019-04-02,1811.02,1820.0,1805.121,1813.98,3448114,1788.736,1737.0085,1678.6186000000002,-0.00011575413821041103
2019-04-03,1826.72,1830.0,1809.62,1820.7,3980589,1791.0790000000002,1744.5960000000002,1682.3892,0.003704561241028026
2019-04-04,1820.65,1828.75,1804.2,1818.86,3623866,1791.039,1754.2415,1685.9660000000001,-0.0010106003185589296
2019-04-05,1829.0,1838.58,1825.19,1837.28,3640475,1798.2900000000002,1765.0655,1689.6129999999998,0.0101272225459903
2019-04-08,1833.23,1850.2,1825.11,1849.86,3752840,1805.85,1774.0275000000001,1693.1988000000001,0.006847078289645481
2019-04-09,1845.49,1853.09,1831.78,1835.84,3714367,1811.0579999999998,1782.1645,1697.1578,-0.007578951920685917
2019-04-10,1841.0,1848.0,1828.81,1847.33,2963972,1819.221,1789.9904999999999,1702.2268,0.006258715356458167
2019-04-11,1848.7,1849.95,1840.31,1844.07,2654841,1826.2859999999996,1797.8830000000003,1705.6996,-0.0017647090665988685
2019-04-12,1848.4,1851.5,1841.3,1843.06,3114412,1832.5169999999998,1804.4180000000001,1708.1861999999999,-0.0005477015514595562
2019-04-15,1842.0,1846.85,1818.9,1844.87,3724422,1835.5849999999998,1809.554,1712.559,0.000982062439638387
2019-04-16,1851.35,1869.77,1848.0,1863.04,3044617,1840.491,1814.6135000000002,1717.1535999999999,0.009848932445104541
2019-04-17,1872.99,1876.473,1860.44,1864.82,2893516,1844.9029999999998,1817.991,1721.2738,0.0009554276880796575
2019-04-18,1868.79,1870.82,1859.48,1861.69,2749881,1849.1859999999997,1820.1124999999997,1725.7024000000001,-0.0016784461771108816
