AAPL,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2010-06-30,7.74275,7.78046,7.54095,7.58611,874183979.53137,,,,
2010-07-01,7.66393,7.68466,7.33563,7.49474,1210384810.4086,,,,-0.012044381112322311
2010-07-02,7.56051,7.56761,7.33493,7.44742,821602028.7132,,,,-0.006313761384651118
2010-07-06,7.44742,7.62501,7.425,7.49938,727602308.91346,,,,0.006976912810073843
2010-07-07,7.55853,7.80398,7.53236,7.80051,772948067.22597,,,,0.040153986062847924
2010-07-08,7.91904,7.9287,7.68733,7.78442,872827868.2573,,,,-0.002062685644912965
2010-07-09,7.74777,7.83874,7.69641,7.83034,512808881.10047,,,,0.005898962286207565
2010-07-12,7.79717,7.89743,7.68634,7.76023,665451209.5152,,,,-0.008953634197237936
2010-07-13,7.72723,7.73305,7.4324,7.59488,1406164299.4388,,,,-0.021307358158198952
2010-07-14,7.51529,7.71429,7.51003,7.62264,961419110.84986,7.642067,,,0.003655093958034872
2010-07-15,7.48782,7.75035,7.4578,7.58332,971602722.95647,7.641788,,,-0.005158317853132255
2010-07-16,7.63243,7.69019,7.49237,7.53731,1229400552.4257,7.646044999999999,,,-0.00606726341496866
2010-07-19,7.53176,7.53652,7.22679,7.40664,1211977136.2822,7.641966999999999,,,-0.01733642373738098
2010-07-20,7.3131,7.62797,7.23843,7.59785,1253221284.4653,7.651814,,,0.025816024540142424
2010-07-21,7.99173,7.99637,7.66006,7.66688,1401981996.34,7.638451000000001,,,0.009085464967063084
2010-07-22,7.77335,7.8416,7.70028,7.81159,763352773.26519,7.641168,,,0.01887469218247828
2010-07-23,7.75746,7.85365,7.7291,7.84003,631145313.13617,7.642137,,,0.003640744073869717
2010-07-26,7.8412,7.84476,7.77315,7.81979,493579960.52535,7.648093,,,-0.0025816227744025477
2010-07-27,7.86165,7.9855,7.85098,7.96545,687719950.01606,7.68515,,,0.01862709868167811
2010-07-28,7.95281,8.02324,7.84921,7.87014,614715044.81432,7.7099,7.675983499999999,,-0.011965425682164743
2010-07-29,7.86273,7.92072,7.72408,7.7851,761848496.05907,7.730078000000001,7.685933,,-0.01080539863331531
2010-07-30,7.71291,7.83271,7.68793,7.75863,530654511.27444,7.752210000000001,7.6991275,,-0.003400084777331003
2010-08-02,7.85464,7.91934,7.83034,7.89743,504943364.83703,7.801289,7.721628,,0.01788975631007017
2010-08-03,7.89743,7.93928,7.82442,7.90036,493129653.09458,7.8315399999999995,7.741677,,0.00037100677055712517
2010-08-04,7.92447,7.97098,7.85118,7.93079,497609177.01868,7.857930999999999,7.748191,,0.0038517232126131784
2010-08-05,7.88594,7.93711,7.85799,7.89275,342271257.12206,7.866047,7.753607499999999,,-0.004796495683279889
2010-08-06,7.83271,7.88623,7.77019,7.84456,526502450.06754,7.8665,7.754318500000001,,-0.006105603243482971
2010-08-09,7.88623,7.90707,7.82905,7.89444,358000535.01373,7.873965000000001,7.761029000000001,,0.006358546559654066
2010-08-10,7.83736,7.85493,7.76843,7.82392,534693289.669,7.859812,7.772480999999999,,-0.008932869209215655
2010-08-11,7.69591,7.71093,7.53434,7.54531,731808872.1473,7.827328999999999,7.7686145,,-0.03561002668738955
2010-08-12,7.43688,7.63368,7.42342,7.59428,632594350.2143,7.808247,7.7691625,,0.006490124328887736
2010-08-13,7.57059,7.59755,7.51231,7.5129,419566350.68143,7.7836739999999995,7.767942,,-0.010715959906666628
2010-08-16,7.47192,7.54095,7.43736,7.46924,376189657.55549,7.740855000000001,7.771072000000001,,-0.0058113378322618425
2010-08-17,7.54323,7.67972,7.51557,7.59953,499951849.90445,7.710772,7.7711559999999995,,0.017443541779351035
2010-08-18,7.61692,7.681,7.58777,7.63272,400492525.48055,7.6809650000000005,7.769448,,0.004367375350844194
