AMZN,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2010-06-30,108.58,112.68,108.11,109.26,9740933,,,,
2010-07-01,108.9,111.69,106.7,110.96,8530343,,,,0.01555921654768433
2010-07-02,110.92,111.29,108.56,109.14,4477302,,,,-0.016402307137707184
2010-07-06,110.65,112.53,109.0,110.06,5219407,,,,0.008429540040315153
2010-07-07,109.84,113.63,109.81,113.43,4944960,,,,0.030619662002544068
2010-07-08,115.02,117.48,114.07,116.22,6776482,,,,0.024596667548267614
2010-07-09,116.55,117.4,114.65,117.26,4065035,,,,0.008948545861297674
2010-07-12,117.81,119.7,117.32,119.51,4783736,,,,0.019188128944226612
2010-07-13,120.69,124.88,120.3,123.65,7091087,,,,0.03464145259810891
2010-07-14,123.03,123.75,121.4749,123.3,5257539,115.279,,,-0.0028305701577032716
2010-07-15,120.13,122.48,119.26,122.06,6051124,116.55900000000001,,,-0.010056772100567657
2010-07-16,121.28,121.92,118.01,118.49,6227898,117.31199999999998,,,-0.029247910863509863
2010-07-19,118.38,120.74,117.0,119.94,5030816,118.39200000000001,,,0.01223731960503005
2010-07-20,120.61,120.71,117.51,120.1,6785727,119.396,,,0.0013340003335000628
2010-07-21,120.62,121.25,117.26,117.43,5011617,119.796,,,-0.022231473771856636
2010-07-22,118.71,120.87,118.02,120.07,15003329,120.18100000000001,,,0.022481478327514237
2010-07-23,105.925,119.28,105.8,118.87,42421069,120.34200000000001,,,-0.009994170067460506
2010-07-26,118.26,118.6,114.88,118.4,11137739,120.23100000000002,,,-0.003953899217632673
2010-07-27,118.43,118.5,115.0658,117.13,7796019,119.579,,,-0.01072635135135147
2010-07-28,117.0,118.2,116.4,117.13,5472255,118.96200000000002,117.12049999999999,,0.0
2010-07-29,117.99,118.87,115.52,116.86,6184849,118.44199999999998,117.50049999999999,,-0.002305131050968967
2010-07-30,115.53,118.74,114.51,117.89,7083179,118.38200000000002,117.84700000000001,,0.00881396542871804
2010-08-02,119.15,120.38,117.57,120.07,5482618,118.39500000000001,118.39349999999999,,0.018491814403257312
2010-08-03,120.0,122.87,119.68,122.42,5962925,118.627,119.0115,,0.01957191638211042
2010-08-04,123.06,128.47,123.0,127.58,9275062,119.64200000000001,119.71900000000001,,0.0421499754942003
2010-08-05,126.77,128.0,125.82,127.83,4282296,120.41799999999998,120.2995,,0.001959554789151996
2010-08-06,126.72,128.4,125.9,128.32,5065976,121.36300000000001,120.8525,,0.00383321598998676
2010-08-09,128.46,129.93,127.8501,128.83,5087068,122.40599999999999,121.3185,,0.003974438902743183
2010-08-10,127.95,130.0,127.38,130.0,5706812,123.69300000000001,121.636,,0.00908173562058523
2010-08-11,128.1,128.12,125.2,125.89,5542389,124.56899999999999,121.7655,,-0.0316153846153846
2010-08-12,123.76,127.0,123.55,126.56,4368458,125.53900000000002,121.9905,,0.005322106601000964
2010-08-13,126.06,127.48,124.26,124.69,3983579,126.21899999999998,122.30049999999999,,-0.014775600505689046
2010-08-16,123.61,127.37,123.04,126.07,4027613,126.819,122.607,,0.011067447269227593
2010-08-17,127.34,129.98,126.79,128.86,5045091,127.463,123.045,,0.022130562385976216
2010-08-18,129.25,130.81,128.26,129.65,7902371,127.67,123.65599999999999,,0.006130684463758973
2010-08-19,129.22,130.02,126.82,127.57,5582486,127.644,124.03099999999999,,-0.016043193212495255
2010-08-20,127.2,128.04,126.02,127.76,4172547,127.588,124.47550000000001,,0.0014893783804970084
2010-08-23,127.86,129.22,126.5,126.6,3867810,127.36500000000001,124.88550000000001,,-0.009079524107702075
2010-08-24,125.41,125.44,123.18,124.53,5369618,126.81800000000001,125.25549999999998,,-0.016350710900473908
2010-08-25,123.85,127.37,123.83,126.85,5346446,126.91400000000002,125.74150000000002,,0.018630048984180414
2010-08-26,127.15,127.59,124.82,124.86,4699221,126.744,126.1415,,-0.0156878202601497
2010-08-27,125.46,126.64,122.25,126.64,5080504,126.93900000000001,126.57900000000002,,0.014255966682684695
2010-08-30,126.03,126.95,123.69,123.79,3430964,126.71099999999998,126.76500000000001,,-0.022504737839545097
2010-08-31,122.85,125.9,122.5,124.83,4226619,126.30800000000002,126.88550000000001,,0.008401324824299117
2010-09-01,126.36,132.599,126.17,132.49,7138236,126.59200000000001,127.131,,0.06136345429784518
2010-09-02,132.17,135.21,132.05,135.21,5407346,127.356,127.5,,0.020529851309532887
2010-09-03,136.89,139.5,136.625,138.79,6590808,128.459,128.02349999999998,,0.026477331558316664
2010-09-07,137.56,138.6,136.89,137.22,3887332,129.521,128.443,,-0.011312054182577969
2010-09-08,137.93,139.7,136.45,139.14,5832512,130.982,128.9,,0.013992129427197186
2010-09-09,140.387,141.37,139.26,140.38,4966543,132.33499999999998,129.6245,123.6118,0.008911887307747612
2010-09-10,140.75,142.6001,140.04,142.44,5044665,134.093,130.41850000000002,124.27539999999999,0.014674455050577073
2010-09-13,144.07,145.74,143.76,145.07,5083218,135.93599999999998,131.4375,124.9576,0.018463914630721723
2010-09-14,144.5,146.7,143.832,145.75,4323590,138.132,132.42149999999998,125.68980000000002,0.0046873922933756695
2010-09-15,144.88,145.62,143.56,145.45,4905674,140.194,133.251,126.3976,-0.002058319039451195
2010-09-16,145.4,148.23,145.16,148.13,5826972,141.75799999999998,134.175,127.0916,0.018425575799243754
2010-09-17,148.9,148.98,146.5,148.325,7262648,143.0695,135.21275,127.73370000000001,0.001316411260379402
2010-09-20,148.7,151.95,147.35,151.3048,6456144,144.32098,136.38998999999998,128.414596,0.020089667958874236
2010-09-21,150.76,153.31,149.6,150.73,7546661,145.67198000000002,137.59649,129.038996,-0.0037989541640450764
2010-09-22,149.84,152.7,149.1,151.83,6618750,146.94098,138.96149,129.602596,0.007297817289192654
2010-09-23,151.2,155.92,150.97,152.85,7066938,148.18798,140.26148999999998,130.19359599999999,0.006718039913060636
2010-09-24,155.43,160.89,155.42,160.73,10590499,150.01698,142.05499,130.966996,0.05155381092574407
2010-09-27,160.22,161.2,157.88,159.37,6453677,151.44698,143.69149,131.784596,-0.008461394885833307
2010-09-28,159.84,160.88,154.89,159.7,8494909,152.84198,145.48699,132.57979600000002,0.0020706531969629793
2010-09-29,159.03,161.78,157.75,158.99,7290539,154.19598000000002,147.19499,133.357596,-0.004445835942391896
2010-09-30,160.01,160.93,155.6,157.06,7606103,155.08898,148.42349,134.150196,-0.01213912824705965
2010-10-01,157.08,157.44,152.2,153.71,8691125,155.62748000000002,149.34849,134.822996,-0.021329428243983206
2010-10-04,153.95,155.96,152.79,155.39,5354313,156.036,150.17849,135.553396,0.010929672760392917
2010-10-05,157.08,161.21,157.0145,160.87,5620927,157.05,151.36099,136.402796,0.03526610463993829
